Model,Pred_s,Precision,Recall,F1,FPR,FNR
RandomForest-SQL,0.16471509999246337,0.9991083370485956,0.9885310983678871,0.9937915742793791,0.0005125576627370579,0.011468901632112925
MLP-SQL,0.08614719999604858,0.999553770638108,0.9880899867666519,0.9937888198757764,0.00025627883136852895,0.011910013233348038
XGBoost-SQL,0.020281499993870966,0.9232643118148599,0.6687251874724305,0.7756459452545408,0.03229113275243465,0.33127481252756946
CatBoost-SQL,0.179184599997825,0.9991075412762159,0.9876488751654169,0.9933451641526175,0.0005125576627370579,0.012351124834583149
TabPFN-SQL,1127.117954500005,0.9986619090098127,0.9876488751654169,0.9931248613883344,0.0007688364941055869,0.012351124834583149
RandomForest-XSS,0.1092036000045482,1.0,0.9959044368600682,0.9979480164158687,0.0,0.004095563139931741
MLP-XSS,0.06225990000530146,0.9972770592239619,1.0,0.9986366734832992,0.005563282336578581,0.0
XGBoost-XSS,0.01767899999686051,0.669880624426079,0.9959044368600682,0.8009881965413121,1.0,0.004095563139931741
CatBoost-XSS,0.10728140000719577,1.0,0.9959044368600682,0.9979480164158687,0.0,0.004095563139931741
TabPFN-XSS,420.1667316999956,0.9972733469665985,0.9986348122866894,0.9979536152796725,0.005563282336578581,0.0013651877133105802
